invoice_number,po_number,item_code,item_name,quantity_invoiced,unit_price_invoiced,invoice_date,supplier_name,total_value_invoiced
INV-5549,PO-0022,ITM-102,USB-C Cable 2m,100,12.5,2026-03-22,ElectroWare Trading,1250.0
INV-5550,PO-0040,ITM-110,Headset with Mic,50,82.61,2026-03-15,TechSupply LLC,4130.5
INV-5551,PO-0029,ITM-115,Desk Lamp LED,100,112.0,2026-03-12,Digital Solutions FZE,11200.0
INV-5552,PO-0050,ITM-107,External Hard Drive 1TB,50,189.0,2026-03-27,ElectroWare Trading,9450.0
INV-5553,PO-0026,ITM-105,Monitor Stand Adjustable,250,145.0,2026-03-18,TechSupply LLC,36250.0
INV-5554,PO-0039,ITM-106,Laptop Cooling Pad,584,74.48,2026-03-16,ElectroWare Trading,43496.32
INV-5555,PO-0016,ITM-115,Desk Lamp LED,100,112.0,2026-03-18,Office Depot UAE,11200.0
INV-5556,PO-0022,ITM-108,USB Hub 4-Port,113,34.0,2026-03-28,Digital Solutions FZE,3842.0
INV-5557,PO-0056,ITM-103,HDMI Cable 3m,100,28.0,2026-03-19,Office Depot UAE,2800.0
INV-5558,PO-0044,ITM-103,HDMI Cable 3m,50,28.0,2026-03-13,TechSupply LLC,1400.0
INV-5559,PO-0053,ITM-104,Wireless Keyboard,500,96.94,2026-03-15,Digital Solutions FZE,48470.0
INV-5560,PO-0052,ITM-106,Laptop Cooling Pad,150,67.0,2026-03-19,TechSupply LLC,10050.0
INV-5561,PO-0049,ITM-114,Cable Organizer Set,200,15.0,2026-03-29,ElectroWare Trading,3000.0
INV-5562,PO-0023,ITM-105,Monitor Stand Adjustable,250,145.0,2026-03-21,Digital Solutions FZE,36250.0
INV-5563,PO-0001,ITM-101,Wireless Mouse Logitech,250,42.28,2026-03-18,ElectroWare Trading,10570.0
INV-5564,PO-0002,ITM-102,USB-C Cable 2m,250,12.5,2026-03-15,TechSupply LLC,3125.0
INV-5565,PO-0030,ITM-104,Wireless Keyboard,150,89.0,2026-03-10,Office Depot UAE,13350.0
INV-5566,PO-0046,ITM-109,Webcam HD 1080p,50,156.0,2026-03-22,Office Depot UAE,7800.0
INV-5567,PO-0043,ITM-102,USB-C Cable 2m,100,11.23,2026-03-21,ElectroWare Trading,1123.0
INV-5568,PO-0056,ITM-113,Phone Case Universal,200,18.0,2026-03-29,Office Depot UAE,3600.0
INV-5569,PO-0032,ITM-115,Desk Lamp LED,250,112.0,2026-03-23,Digital Solutions FZE,28000.0
INV-5570,PO-0055,ITM-106,Laptop Cooling Pad,300,67.0,2026-03-15,Office Depot UAE,20100.0
INV-5571,PO-0054,ITM-112,Screen Protector Pack,200,20.67,2026-03-27,TechSupply LLC,4134.0
INV-5572,PO-0057,ITM-107,External Hard Drive 1TB,500,189.0,2026-03-21,Digital Solutions FZE,94500.0
INV-5573,PO-0009,ITM-115,Desk Lamp LED,250,112.0,2026-03-23,Digital Solutions FZE,28000.0
INV-5574,PO-0015,ITM-102,USB-C Cable 2m,250,12.5,2026-03-21,Digital Solutions FZE,3125.0
INV-5575,PO-0039,ITM-108,USB Hub 4-Port,100,34.0,2026-03-22,Digital Solutions FZE,3400.0
INV-5576,PO-0043,ITM-115,Desk Lamp LED,250,112.0,2026-03-10,ElectroWare Trading,28000.0
INV-5577,PO-0040,ITM-111,Power Bank 20000mAh,50,95.0,2026-03-23,TechSupply LLC,4750.0
INV-5578,PO-0048,ITM-112,Screen Protector Pack,200,22.0,2026-03-14,ElectroWare Trading,4400.0
INV-5579,PO-0057,ITM-101,Wireless Mouse Logitech,500,45.0,2026-03-27,TechSupply LLC,22500.0
INV-5580,PO-0010,ITM-110,Headset with Mic,200,85.32,2026-03-18,Office Depot UAE,17064.0
INV-5581,PO-0011,ITM-106,Laptop Cooling Pad,500,76.19,2026-03-11,ElectroWare Trading,38095.0
INV-5582,PO-0031,ITM-114,Cable Organizer Set,500,15.0,2026-03-26,Digital Solutions FZE,7500.0
INV-5583,PO-0033,ITM-108,USB Hub 4-Port,150,34.0,2026-03-11,TechSupply LLC,5100.0
INV-5584,PO-0023,ITM-106,Laptop Cooling Pad,250,59.27,2026-03-21,Office Depot UAE,14817.5
INV-5585,PO-0053,ITM-112,Screen Protector Pack,500,22.0,2026-03-20,Office Depot UAE,11000.0
INV-5586,PO-0042,ITM-112,Screen Protector Pack,150,22.0,2026-03-15,Digital Solutions FZE,3300.0
INV-5587,PO-0056,ITM-115,Desk Lamp LED,100,96.68,2026-03-10,TechSupply LLC,9668.0
INV-5588,PO-0039,ITM-104,Wireless Keyboard,50,89.0,2026-03-18,Office Depot UAE,4450.0
INV-5589,PO-0003,ITM-109,Webcam HD 1080p,500,156.0,2026-03-12,Office Depot UAE,78000.0
INV-5590,PO-0045,ITM-110,Headset with Mic,500,78.0,2026-03-21,Digital Solutions FZE,39000.0
INV-5591,PO-0042,ITM-109,Webcam HD 1080p,500,156.0,2026-03-28,ElectroWare Trading,78000.0
INV-5592,PO-0001,ITM-104,Wireless Keyboard,50,89.0,2026-03-28,Digital Solutions FZE,4450.0
INV-5593,PO-0004,ITM-104,Wireless Keyboard,150,89.0,2026-03-26,Office Depot UAE,13350.0
INV-5594,PO-0041,ITM-111,Power Bank 20000mAh,250,95.0,2026-03-20,TechSupply LLC,23750.0
INV-5595,PO-0039,ITM-105,Monitor Stand Adjustable,200,145.0,2026-03-18,Office Depot UAE,29000.0
INV-5596,PO-0048,ITM-103,HDMI Cable 3m,250,28.0,2026-03-12,Digital Solutions FZE,7000.0
INV-5597,PO-0030,ITM-111,Power Bank 20000mAh,200,95.0,2026-03-15,TechSupply LLC,19000.0
INV-5598,PO-0054,ITM-105,Monitor Stand Adjustable,116,145.0,2026-03-20,Office Depot UAE,16820.0
INV-5599,PO-0014,ITM-111,Power Bank 20000mAh,222,88.53,2026-03-15,ElectroWare Trading,19653.66
INV-5600,PO-0012,ITM-108,USB Hub 4-Port,50,34.0,2026-03-23,Digital Solutions FZE,1700.0
INV-5601,PO-0001,ITM-106,Laptop Cooling Pad,100,67.0,2026-03-28,Digital Solutions FZE,6700.0
INV-5602,PO-0052,ITM-107,External Hard Drive 1TB,114,189.0,2026-03-28,Office Depot UAE,21546.0
INV-5603,PO-0015,ITM-106,Laptop Cooling Pad,150,67.0,2026-03-25,Digital Solutions FZE,10050.0
INV-5604,PO-0021,ITM-115,Desk Lamp LED,100,112.0,2026-03-22,Digital Solutions FZE,11200.0
INV-5605,PO-0041,ITM-105,Monitor Stand Adjustable,50,145.0,2026-03-26,TechSupply LLC,7250.0
INV-5606,PO-0007,ITM-112,Screen Protector Pack,50,22.0,2026-03-15,Office Depot UAE,1100.0
INV-5607,PO-0010,ITM-115,Desk Lamp LED,291,112.0,2026-03-20,Office Depot UAE,32592.0
INV-5608,PO-0042,ITM-102,USB-C Cable 2m,200,12.5,2026-03-18,Office Depot UAE,2500.0
INV-5609,PO-0049,ITM-101,Wireless Mouse Logitech,100,45.0,2026-03-29,ElectroWare Trading,4500.0
INV-5610,PO-0035,ITM-104,Wireless Keyboard,250,89.0,2026-03-22,TechSupply LLC,22250.0
INV-5611,PO-0035,ITM-102,USB-C Cable 2m,100,12.5,2026-03-29,ElectroWare Trading,1250.0
INV-5612,PO-0039,ITM-103,HDMI Cable 3m,100,25.54,2026-03-25,TechSupply LLC,2554.0
INV-5613,PO-0004,ITM-101,Wireless Mouse Logitech,100,45.0,2026-03-18,TechSupply LLC,4500.0
INV-5614,PO-0033,ITM-109,Webcam HD 1080p,100,156.0,2026-03-13,Digital Solutions FZE,15600.0
INV-5615,PO-0053,ITM-109,Webcam HD 1080p,250,156.0,2026-03-15,Digital Solutions FZE,39000.0
INV-5616,PO-0038,ITM-101,Wireless Mouse Logitech,250,45.0,2026-03-18,TechSupply LLC,11250.0
INV-5617,PO-0032,ITM-103,HDMI Cable 3m,500,28.0,2026-03-10,Office Depot UAE,14000.0
INV-5618,PO-0032,ITM-101,Wireless Mouse Logitech,50,49.64,2026-03-29,TechSupply LLC,2482.0
INV-5619,PO-0028,ITM-105,Monitor Stand Adjustable,500,124.21,2026-03-29,Office Depot UAE,62105.0
INV-5620,PO-0032,ITM-106,Laptop Cooling Pad,200,67.0,2026-03-16,Digital Solutions FZE,13400.0
INV-5621,PO-0029,ITM-102,USB-C Cable 2m,50,12.5,2026-03-10,Office Depot UAE,625.0
INV-5622,PO-0044,ITM-114,Cable Organizer Set,150,15.0,2026-03-19,Office Depot UAE,2250.0
INV-5623,PO-0038,ITM-112,Screen Protector Pack,150,18.76,2026-03-15,Office Depot UAE,2814.0000000000005
INV-5624,PO-0024,ITM-110,Headset with Mic,100,78.0,2026-03-18,TechSupply LLC,7800.0
INV-5625,PO-0016,ITM-106,Laptop Cooling Pad,150,67.0,2026-03-17,Digital Solutions FZE,10050.0
INV-5626,PO-0038,ITM-114,Cable Organizer Set,75,16.85,2026-03-22,TechSupply LLC,1263.75
INV-5627,PO-0002,ITM-113,Phone Case Universal,200,15.37,2026-03-28,Digital Solutions FZE,3074.0
INV-5628,PO-0002,ITM-105,Monitor Stand Adjustable,200,145.0,2026-03-19,ElectroWare Trading,29000.0
INV-5629,PO-0038,ITM-113,Phone Case Universal,200,18.0,2026-03-12,ElectroWare Trading,3600.0
INV-5630,PO-0026,ITM-114,Cable Organizer Set,154,15.0,2026-03-18,TechSupply LLC,2310.0
INV-5631,PO-0004,ITM-114,Cable Organizer Set,38,15.0,2026-03-11,Digital Solutions FZE,570.0
INV-5632,PO-0029,ITM-114,Cable Organizer Set,200,15.0,2026-03-16,Digital Solutions FZE,3000.0
INV-5633,PO-0044,ITM-115,Desk Lamp LED,50,112.0,2026-03-25,Office Depot UAE,5600.0
INV-5634,PO-0004,ITM-103,HDMI Cable 3m,150,28.0,2026-03-28,Office Depot UAE,4200.0
INV-5635,PO-0003,ITM-115,Desk Lamp LED,100,112.0,2026-03-24,ElectroWare Trading,11200.0
INV-5636,PO-0010,ITM-112,Screen Protector Pack,200,22.0,2026-03-29,Office Depot UAE,4400.0
INV-5637,PO-0057,ITM-112,Screen Protector Pack,50,22.0,2026-03-14,ElectroWare Trading,1100.0
INV-5638,PO-0007,ITM-107,External Hard Drive 1TB,500,189.0,2026-03-17,Digital Solutions FZE,94500.0
INV-5639,PO-0055,ITM-111,Power Bank 20000mAh,200,105.93,2026-03-16,Office Depot UAE,21186.0
INV-5640,PO-0020,ITM-115,Desk Lamp LED,50,112.0,2026-03-11,Digital Solutions FZE,5600.0
INV-5641,PO-0048,ITM-108,USB Hub 4-Port,50,34.0,2026-03-12,ElectroWare Trading,1700.0
INV-5642,PO-0030,ITM-107,External Hard Drive 1TB,500,189.0,2026-03-11,TechSupply LLC,94500.0
INV-5643,PO-0053,ITM-115,Desk Lamp LED,50,112.0,2026-03-29,Digital Solutions FZE,5600.0
INV-5644,PO-9999,ITM-108,USB Hub 4-Port,50,34.0,2026-03-29,Unknown Supplier LLC,1700.0
INV-5645,PO-9999,ITM-106,Laptop Cooling Pad,75,67.0,2026-03-29,Unknown Supplier LLC,5025.0
INV-5646,PO-9999,ITM-109,Webcam HD 1080p,25,156.0,2026-03-29,Unknown Supplier LLC,3900.0
INV-5647,PO-9999,ITM-115,Desk Lamp LED,25,112.0,2026-03-29,Unknown Supplier LLC,2800.0
INV-5648,PO-9999,ITM-112,Screen Protector Pack,50,22.0,2026-03-29,Unknown Supplier LLC,1100.0
